age_bucket,country_destination,population_in_thousands,year,gender,
100+,AU,1,2015,male,
95-99,AU,9,2015,male,
90-94,AU,47,2015,male,
85-89,AU,118,2015,male,
80-84,AU,199,2015,male,
75-79,AU,298,2015,male,
70-74,AU,415,2015,male,
65-69,AU,574,2015,male,
60-64,AU,636,2015,male,
55-59,AU,714,2015,male,
50-54,AU,778,2015,male,
45-49,AU,778,2015,male,
40-44,AU,820,2015,male,
35-39,AU,797,2015,male,
30-34,AU,881,2015,male,
25-29,AU,895,2015,male,
20-24,AU,820,2015,male,
15-19,AU,768,2015,male,
10-14,AU,743,2015,male,
5-9,AU,784,2015,male,
0-4,AU,824,2015,male,
100+,AU,4,2015,female,
95-99,AU,25,2015,female,
90-94,AU,94,2015,female,
85-89,AU,179,2015,female,
80-84,AU,252,2015,female,
75-79,AU,338,2015,female,
70-74,AU,438,2015,female,
65-69,AU,592,2015,female,
60-64,AU,660,2015,female,
55-59,AU,739,2015,female,
50-54,AU,798,2015,female,
45-49,AU,793,2015,female,
40-44,AU,838,2015,female,
35-39,AU,801,2015,female,
30-34,AU,865,2015,female,
25-29,AU,851,2015,female,
20-24,AU,787,2015,female,
15-19,AU,737,2015,female,
10-14,AU,707,2015,female,
5-9,AU,745,2015,female,
0-4,AU,781,2015,female,
75-79,CA,530,2015,female,
75-79,CA,446,2015,male,
35-39,CA,1192,2015,female,
25-29,CA,1220,2015,female,
95-99,CA,13,2015,male,
40-44,CA,1179,2015,male,
30-34,CA,1240,2015,female,
60-64,CA,1142,2015,female,
55-59,CA,1287,2015,male,
45-49,CA,1232,2015,male,
85-89,CA,300,2015,female,
50-54,CA,1400,2015,male,
100+,CA,1,2015,male,
70-74,CA,650,2015,male,
95-99,CA,42,2015,female,
100+,CA,7,2015,female,
90-94,CA,68,2015,male,
50-54,CA,1391,2015,female,
0-4,CA,1045,2015,male,
5-9,CA,1011,2015,male,
70-74,CA,715,2015,female,
10-14,CA,983,2015,male,
55-59,CA,1305,2015,female,
45-49,CA,1217,2015,female,
20-24,CA,1159,2015,female,
15-19,CA,1054,2015,male,
20-24,CA,1203,2015,male,
65-69,CA,914,2015,male,
40-44,CA,1169,2015,female,
90-94,CA,153,2015,female,
65-69,CA,973,2015,female,
60-64,CA,1094,2015,male,
85-89,CA,183,2015,male,
25-29,CA,1273,2015,male,
5-9,CA,960,2015,female,
80-84,CA,422,2015,female,
30-34,CA,1262,2015,male,
10-14,CA,929,2015,female,
0-4,CA,991,2015,female,
35-39,CA,1189,2015,male,
15-19,CA,1009,2015,female,
80-84,CA,318,2015,male,
70-74,DE,2099,2015,male,
80-84,DE,1486,2015,female,
60-64,DE,2799,2015,female,
100+,DE,3,2015,male,
5-9,DE,1690,2015,female,
75-79,DE,2421,2015,female,
70-74,DE,2362,2015,female,
65-69,DE,2134,2015,female,
85-89,DE,517,2015,male,
25-29,DE,2495,2015,female,
60-64,DE,2575,2015,male,
0-4,DE,1713,2015,female,
55-59,DE,2983,2015,male,
50-54,DE,3614,2015,male,
30-34,DE,2571,2015,female,
45-49,DE,3525,2015,male,
40-44,DE,2633,2015,male,
35-39,DE,2402,2015,female,
65-69,DE,2003,2015,male,
35-39,DE,2448,2015,male,
20-24,DE,2161,2015,female,
30-34,DE,2627,2015,male,
95-99,DE,17,2015,male,
40-44,DE,2559,2015,female,
75-79,DE,1932,2015,male,
25-29,DE,2593,2015,male,
10-14,DE,1800,2015,female,
20-24,DE,2266,2015,male,
15-19,DE,2076,2015,male,
45-49,DE,3357,2015,female,
10-14,DE,1892,2015,male,
5-9,DE,1781,2015,male,
50-54,DE,3513,2015,female,
0-4,DE,1811,2015,male,
15-19,DE,1974,2015,female,
100+,DE,14,2015,female,
90-94,DE,154,2015,male,
80-84,DE,1016,2015,male,
95-99,DE,71,2015,female,
90-94,DE,491,2015,female,
55-59,DE,2996,2015,female,
85-89,DE,988,2015,female,
95-99,ES,22,2015,male,
15-19,ES,1027,2015,female,
85-89,ES,306,2015,male,
75-79,ES,688,2015,male,
40-44,ES,1924,2015,female,
100+,ES,3,2015,male,
90-94,ES,112,2015,male,
45-49,ES,1909,2015,male,
15-19,ES,1087,2015,male,
0-4,ES,1198,2015,female,
70-74,ES,1040,2015,female,
5-9,ES,1307,2015,male,
10-14,ES,1124,2015,female,
30-34,ES,1748,2015,male,
65-69,ES,1251,2015,female,
95-99,ES,64,2015,female,
80-84,ES,843,2015,female,
55-59,ES,1479,2015,male,
10-14,ES,1189,2015,male,
50-54,ES,1733,2015,female,
20-24,ES,1106,2015,female,
40-44,ES,2052,2015,male,
70-74,ES,880,2015,male,
30-34,ES,1646,2015,female,
35-39,ES,2117,2015,male,
75-79,ES,906,2015,female,
25-29,ES,1280,2015,female,
5-9,ES,1235,2015,female,
60-64,ES,1235,2015,male,
55-59,ES,1531,2015,female,
25-29,ES,1347,2015,male,
85-89,ES,563,2015,female,
65-69,ES,1119,2015,male,
100+,ES,9,2015,female,
90-94,ES,256,2015,female,
35-39,ES,1966,2015,female,
80-84,ES,559,2015,male,
0-4,ES,1272,2015,male,
60-64,ES,1316,2015,female,
50-54,ES,1727,2015,male,
20-24,ES,1175,2015,male,
45-49,ES,1852,2015,female,
40-44,FR,2212,2015,male,
60-64,FR,1891,2015,male,
90-94,FR,164,2015,male,
35-39,FR,1842,2015,male,
100+,FR,3,2015,male,
75-79,FR,1223,2015,female,
25-29,FR,2041,2015,female,
70-74,FR,1103,2015,male,
30-34,FR,2035,2015,male,
85-89,FR,405,2015,male,
55-59,FR,2125,2015,female,
90-94,FR,465,2015,female,
25-29,FR,2081,2015,male,
95-99,FR,20,2015,male,
75-79,FR,918,2015,male,
20-24,FR,2040,2015,male,
10-14,FR,1894,2015,female,
65-69,FR,1985,2015,female,
45-49,FR,2220,2015,female,
15-19,FR,2016,2015,male,
70-74,FR,1317,2015,female,
80-84,FR,712,2015,male,
10-14,FR,1985,2015,male,
80-84,FR,1137,2015,female,
5-9,FR,1992,2015,male,
50-54,FR,2234,2015,female,
5-9,FR,1914,2015,female,
60-64,FR,2065,2015,female,
0-4,FR,2035,2015,male,
40-44,FR,2231,2015,female,
15-19,FR,1916,2015,female,
85-89,FR,838,2015,female,
100+,FR,19,2015,female,
0-4,FR,1938,2015,female,
20-24,FR,1947,2015,female,
55-59,FR,1939,2015,male,
30-34,FR,2046,2015,female,
50-54,FR,2123,2015,male,
95-99,FR,82,2015,female,
45-49,FR,2194,2015,male,
65-69,FR,1780,2015,male,
35-39,FR,1856,2015,female,
10-14,GB,1690,2015,female,
35-39,GB,1979,2015,male,
65-69,GB,1858,2015,female,
60-64,GB,1693,2015,male,
10-14,GB,1771,2015,male,
95-99,GB,81,2015,female,
25-29,GB,2213,2015,male,
5-9,GB,1913,2015,female,
40-44,GB,2101,2015,male,
100+,GB,13,2015,female,
70-74,GB,1422,2015,female,
60-64,GB,1775,2015,female,
85-89,GB,602,2015,female,
30-34,GB,2190,2015,male,
65-69,GB,1735,2015,male,
55-59,GB,1925,2015,male,
80-84,GB,896,2015,female,
100+,GB,3,2015,male,
45-49,GB,2301,2015,male,
35-39,GB,1964,2015,female,
55-59,GB,1991,2015,female,
85-89,GB,365,2015,male,
40-44,GB,2147,2015,female,
95-99,GB,29,2015,male,
50-54,GB,2306,2015,female,
0-4,GB,1888,2015,female,
25-29,GB,2122,2015,female,
20-24,GB,1957,2015,female,
15-19,GB,1864,2015,male,
50-54,GB,2220,2015,male,
90-94,GB,310,2015,female,
5-9,GB,2007,2015,male,
20-24,GB,2061,2015,male,
75-79,GB,978,2015,male,
15-19,GB,1783,2015,female,
80-84,GB,661,2015,male,
70-74,GB,1273,2015,male,
30-34,GB,2112,2015,female,
45-49,GB,2349,2015,female,
75-79,GB,1166,2015,female,
90-94,GB,145,2015,male,
0-4,GB,1981,2015,male,
20-24,IT,1514,2015,female,
65-69,IT,1716,2015,male,
100+,IT,3,2015,male,
95-99,IT,22,2015,male,
90-94,IT,164,2015,male,
85-89,IT,440,2015,male,
60-64,IT,1749,2015,male,
55-59,IT,1976,2015,male,
15-19,IT,1411,2015,female,
80-84,IT,808,2015,male,
50-54,IT,2322,2015,male,
45-49,IT,2476,2015,male,
40-44,IT,2428,2015,male,
35-39,IT,2117,2015,male,
30-34,IT,1814,2015,male,
25-29,IT,1673,2015,male,
20-24,IT,1601,2015,male,
15-19,IT,1493,2015,male,
10-14,IT,1468,2015,male,
75-79,IT,1191,2015,male,
5-9,IT,1473,2015,male,
10-14,IT,1388,2015,female,
0-4,IT,1468,2015,male,
100+,IT,15,2015,female,
0-4,IT,1383,2015,female,
95-99,IT,79,2015,female,
90-94,IT,436,2015,female,
85-89,IT,855,2015,female,
80-84,IT,1231,2015,female,
75-79,IT,1534,2015,female,
70-74,IT,1567,2015,female,
65-69,IT,1893,2015,female,
70-74,IT,1338,2015,male,
60-64,IT,1880,2015,female,
5-9,IT,1395,2015,female,
55-59,IT,2069,2015,female,
50-54,IT,2373,2015,female,
45-49,IT,2480,2015,female,
40-44,IT,2411,2015,female,
35-39,IT,2090,2015,female,
30-34,IT,1791,2015,female,
25-29,IT,1610,2015,female,
60-64,NL,524,2015,female,
80-84,NL,231,2015,female,
5-9,NL,450,2015,female,
90-94,NL,25,2015,male,
85-89,NL,151,2015,female,
70-74,NL,351,2015,male,
55-59,NL,580,2015,female,
90-94,NL,69,2015,female,
95-99,NL,15,2015,female,
100+,NL,2,2015,female,
50-54,NL,636,2015,female,
0-4,NL,462,2015,male,
5-9,NL,473,2015,male,
10-14,NL,517,2015,male,
45-49,NL,637,2015,female,
15-19,NL,510,2015,male,
20-24,NL,504,2015,female,
20-24,NL,527,2015,male,
65-69,NL,518,2015,male,
25-29,NL,518,2015,male,
40-44,NL,583,2015,female,
10-14,NL,493,2015,female,
30-34,NL,503,2015,male,
95-99,NL,4,2015,male,
75-79,NL,246,2015,male,
35-39,NL,490,2015,male,
80-84,NL,158,2015,male,
35-39,NL,490,2015,female,
40-44,NL,582,2015,male,
15-19,NL,484,2015,female,
0-4,NL,438,2015,female,
45-49,NL,650,2015,male,
30-34,NL,497,2015,female,
50-54,NL,646,2015,male,
100+,NL,0,2015,male,
55-59,NL,581,2015,male,
25-29,NL,505,2015,female,
60-64,NL,523,2015,male,
85-89,NL,78,2015,male,
65-69,NL,527,2015,female,
70-74,NL,375,2015,female,
75-79,NL,295,2015,female,
80-84,PT,194,2015,female,
40-44,PT,418,2015,female,
65-69,PT,313,2015,female,
60-64,PT,341,2015,female,
90-94,PT,19,2015,male,
85-89,PT,115,2015,female,
80-84,PT,122,2015,male,
35-39,PT,419,2015,male,
15-19,PT,266,2015,female,
60-64,PT,308,2015,male,
90-94,PT,45,2015,female,
25-29,PT,299,2015,female,
95-99,PT,9,2015,female,
55-59,PT,366,2015,female,
65-69,PT,267,2015,male,
40-44,PT,416,2015,male,
100+,PT,1,2015,female,
75-79,PT,244,2015,female,
0-4,PT,239,2015,male,
85-89,PT,59,2015,male,
35-39,PT,414,2015,female,
5-9,PT,264,2015,male,
100+,PT,0,2015,male,
50-54,PT,397,2015,female,
95-99,PT,3,2015,male,
10-14,PT,269,2015,female,
10-14,PT,285,2015,male,
0-4,PT,225,2015,female,
75-79,PT,177,2015,male,
5-9,PT,250,2015,female,
15-19,PT,277,2015,male,
45-49,PT,386,2015,male,
20-24,PT,285,2015,male,
45-49,PT,395,2015,female,
20-24,PT,275,2015,female,
70-74,PT,214,2015,male,
25-29,PT,309,2015,male,
50-54,PT,378,2015,male,
70-74,PT,270,2015,female,
55-59,PT,343,2015,male,
30-34,PT,362,2015,female,
30-34,PT,371,2015,male,
90-94,US,1193,2015,female,
75-79,US,3641,2015,male,
70-74,US,5278,2015,male,
65-69,US,7561,2015,male,
60-64,US,9217,2015,male,
55-59,US,10689,2015,male,
50-54,US,11013,2015,male,
45-49,US,10454,2015,male,
40-44,US,10159,2015,male,
10-14,US,10346,2015,female,
35-39,US,10329,2015,male,
30-34,US,10984,2015,male,
25-29,US,11385,2015,male,
20-24,US,11601,2015,male,
15-19,US,11025,2015,male,
10-14,US,10771,2015,male,
5-9,US,10632,2015,male,
0-4,US,10788,2015,male,
100+,US,61,2015,female,
95-99,US,361,2015,female,
5-9,US,10201,2015,female,
85-89,US,2459,2015,female,
80-84,US,3394,2015,female,
75-79,US,4532,2015,female,
70-74,US,6179,2015,female,
65-69,US,8483,2015,female,
60-64,US,10004,2015,female,
55-59,US,11264,2015,female,
50-54,US,11413,2015,female,
45-49,US,10659,2015,female,
0-4,US,10306,2015,female,
40-44,US,10308,2015,female,
35-39,US,10352,2015,female,
30-34,US,10863,2015,female,
25-29,US,11011,2015,female,
20-24,US,11094,2015,female,
100+,US,13,2015,male,
95-99,US,115,2015,male,
90-94,US,541,2015,male,
15-19,US,10570,2015,female,
85-89,US,1441,2015,male,
80-84,US,2442,2015,male,